,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,emabarked,fare_capped,family_size,is_alone
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,S,7.25,2,0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,C,65.6344,2,0
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,S,7.925,1,1
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,S,53.1,2,0
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
5,0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,Q,8.4583,1,1
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,S,51.8625,1,1
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,S,21.075,5,0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,S,11.1333,3,0
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,C,30.0708,2,0
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,S,16.7,3,0
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,S,26.55,1,1
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,S,31.275,7,0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,S,7.8542,1,1
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,S,16.0,1,1
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,Q,29.125,6,0
17,1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,Southampton,yes,True,S,13.0,1,1
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,S,18.0,2,0
19,1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,C,7.225,1,1
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,S,26.0,1,1
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,S,13.0,1,1
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,Q,8.0292,1,1
23,1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,S,35.5,1,1
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,S,21.075,5,0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,S,31.3875,7,0
26,0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,Cherbourg,no,True,C,7.225,1,1
27,0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,S,65.6344,6,0
28,1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,Q,7.8792,1,1
29,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,C,27.7208,1,1
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,C,65.6344,2,0
32,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Q,7.75,1,1
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,S,10.5,1,1
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,C,65.6344,2,0
35,0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,S,52.0,2,0
36,1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,C,7.2292,1,1
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,S,18.0,3,0
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,C,11.2417,2,0
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,S,9.475,2,0
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,S,21.0,2,0
42,0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,C,7.8958,1,1
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,C,41.5792,4,0
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,Q,7.8792,1,1
45,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
46,0,3,male,29.69911764705882,1,0,15.5,Q,Third,man,True,Queenstown,no,False,Q,15.5,2,0
47,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Q,7.75,1,1
48,0,3,male,29.69911764705882,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,C,21.6792,3,0
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,S,17.8,2,0
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,S,39.6875,6,0
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,S,7.8,1,1
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,C,65.6344,2,0
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,S,26.0,2,0
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,C,61.9792,2,0
55,1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,Southampton,yes,True,S,35.5,1,1
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,S,10.5,1,1
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,C,7.2292,1,1
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,S,27.75,4,0
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,S,46.9,8,0
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,C,7.2292,1,1
61,1,1,female,38.0,0,0,80.0,,First,woman,False,,yes,True,S,65.6344,1,1
62,0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,S,65.6344,2,0
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,S,27.9,6,0
64,0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,Cherbourg,no,True,C,27.7208,1,1
65,1,3,male,29.69911764705882,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,C,15.2458,3,0
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,S,10.5,1,1
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,S,8.1583,1,1
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,S,7.925,7,0
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,S,8.6625,3,0
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,S,10.5,1,1
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,S,46.9,8,0
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,S,65.6344,1,1
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,C,14.4542,2,0
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,S,56.4958,1,1
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,S,7.65,1,1
76,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
77,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,S,29.0,3,0
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,S,12.475,1,1
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,S,9.0,1,1
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,S,9.5,1,1
82,1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,Q,7.7875,1,1
83,0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,S,47.1,1,1
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,S,10.5,1,1
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,S,15.85,4,0
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,S,34.375,5,0
87,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,S,65.6344,6,0
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,S,7.8542,1,1
92,0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,S,61.175,2,0
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,S,20.575,4,0
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,S,7.25,1,1
95,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,C,34.6542,1,1
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,C,63.3583,2,0
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,S,23.0,2,0
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,S,26.0,2,0
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,S,7.8958,1,1
101,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,S,65.6344,2,0
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,S,8.6542,1,1
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,S,7.925,3,0
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,S,7.65,1,1
107,1,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,Southampton,yes,True,S,7.775,1,1
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
109,1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,Q,24.15,2,0
110,0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,S,52.0,1,1
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,C,14.4542,2,0
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,S,9.825,2,0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,C,14.4583,1,1
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,S,7.925,1,1
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,Q,7.75,1,1
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,S,21.0,2,0
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,C,65.6344,2,0
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,S,31.275,7,0
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,S,65.6344,3,0
121,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,C,30.0708,2,0
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,S,13.0,1,1
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,S,65.6344,2,0
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,C,11.2417,2,0
126,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,Queenstown,no,True,Q,7.75,1,1
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,S,7.1417,1,1
128,1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,C,22.3583,3,0
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,S,6.975,1,1
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,C,7.8958,1,1
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,S,7.05,1,1
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,S,14.5,2,0
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,S,26.0,2,0
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,S,13.0,1,1
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,C,15.0458,1,1
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,S,26.2833,3,0
137,0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,S,53.1,2,0
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,S,9.2167,1,1
139,0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,C,65.6344,1,1
140,0,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,C,15.2458,3,0
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,S,7.75,1,1
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,S,15.85,2,0
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,Q,6.75,1,1
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,S,11.5,1,1
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,S,36.75,3,0
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,S,7.7958,1,1
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,S,34.375,5,0
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,S,26.0,3,0
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,S,13.0,1,1
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,S,12.525,1,1
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False,S,65.6344,2,0
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,S,14.5,3,0
154,0,3,male,29.69911764705882,0,0,7.3125,S,Third,man,True,Southampton,no,True,S,7.3125,1,1
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,C,61.3792,2,0
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,Q,7.7333,1,1
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
158,0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,Southampton,no,True,S,8.6625,1,1
159,0,3,male,29.69911764705882,8,2,69.55,S,Third,man,True,Southampton,no,False,S,65.6344,11,0
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,S,16.1,2,0
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,S,15.75,1,1
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,S,7.775,1,1
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,S,8.6625,1,1
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,S,39.6875,6,0
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,S,20.525,3,0
166,1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,Southampton,yes,False,S,55.0,2,0
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,S,27.9,6,0
168,0,1,male,29.69911764705882,0,0,25.925,S,First,man,True,Southampton,no,True,S,25.925,1,1
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,S,56.4958,1,1
170,0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,S,33.5,1,1
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,Q,29.125,6,0
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,S,11.1333,3,0
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,S,7.925,1,1
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,C,30.6958,1,1
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,S,7.8542,3,0
176,0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,True,Southampton,no,False,S,25.4667,5,0
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,C,28.7125,1,1
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,S,13.0,1,1
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,S,0.0,1,1
180,0,3,female,29.69911764705882,8,2,69.55,S,Third,woman,False,Southampton,no,False,S,65.6344,11,0
181,0,2,male,29.69911764705882,0,0,15.05,C,Second,man,True,Cherbourg,no,True,C,15.05,1,1
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,S,31.3875,7,0
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,S,39.0,4,0
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,S,22.025,3,0
185,0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,Southampton,no,True,S,50.0,1,1
186,1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,Q,15.5,2,0
187,1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,S,26.55,1,1
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,Q,15.5,3,0
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,S,13.0,1,1
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,S,13.0,1,1
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,S,7.8542,2,0
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,S,26.0,3,0
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,C,27.7208,1,1
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True,C,65.6344,1,1
196,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,Queenstown,no,True,Q,7.75,1,1
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,S,8.4042,2,0
198,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Q,7.75,1,1
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,S,13.0,1,1
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,S,9.5,1,1
201,0,3,male,29.69911764705882,8,2,69.55,S,Third,man,True,Southampton,no,False,S,65.6344,11,0
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,S,6.4958,1,1
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,C,7.225,1,1
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,S,8.05,1,1
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,S,10.4625,2,0
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,S,15.85,2,0
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,C,18.7875,1,1
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Q,7.75,1,1
209,1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,C,31.0,1,1
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,S,7.05,1,1
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,S,21.0,1,1
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,S,7.25,1,1
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,S,13.0,1,1
214,0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,True,Queenstown,no,False,Q,7.75,2,0
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False,C,65.6344,2,0
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,S,7.925,1,1
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,S,27.0,2,0
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True,C,65.6344,1,1
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,S,10.5,1,1
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,S,8.05,1,1
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,S,13.0,1,1
